Category,Message
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
ham,When i have stuff to sell i.ll tell you
ham,Every monday..nxt week vl be completing..
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,"If i let you do this, i want you in the house by 8am."
ham,aathi..where are you dear..
ham,Sindu got job in birla soft ..
ham,Wen did you get so spiritual and deep. That's great
ham,Ard 4 lor...
ham,I dun believe u. I thk u told him.
ham,I'm also came to room.
ham,If you have belive me. Come to my home.
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
ham,"Aight fuck it, I'll get it later"
ham,Ya it came a while ago
ham,"yeah, that's what I was thinking"
ham,"Cool, I'll text you in a few"
ham,You should change your fb to jaykwon thuglyfe falconerf
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
ham,Ok...
ham,Lemme know when you're here
ham,Mine here like all fr china then so noisy.
ham,Dear reached railway. What happen to you
ham,All e best 4 ur driving tmr :-)
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Yup ok...
ham,"Alright, we're all set here, text the man"
ham,Tell them the drug dealer's getting impatient
ham,"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
ham,Nah dub but je still buff
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,Well she's in for a big surprise!
ham,WHORE YOU ARE UNBELIEVABLE.
ham,Erm. I thought the contract ran out the4th of october.
ham,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
ham,Just glad to be talking to you.
ham,Ok...
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,Howz that persons story
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,Ok pa. Nothing problem:-)
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
ham,hanks lotsly!
ham,Aah bless! How's your arm?
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
ham,I always chat with you. In fact i need money can you raise me?
ham,I told that am coming on wednesday.
ham,on a Tuesday night r u 4 real
ham,"Haha just kidding, papa needs drugs"
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,Fine. Do you remember me.
ham,Huh so fast... Dat means u havent finished painting?
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
ham,Is xy going 4 e lunch?
spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
ham,Then we gotta do it after that
ham,No calls..messages..missed calls
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,So wats ur opinion abt him and how abt is character?
ham,Just sent it. So what type of food do you like?
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
ham,No one interested. May be some business plan.
ham,Ugh hopefully the asus ppl dont randomly do a reformat.
ham,WOT U UP 2 J?
ham,Don no da:)whats you plan?
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham,I was gonna ask you lol but i think its at 7
ham,Send me the new number
ham,U can call now...
spam,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,I have no money 4 steve mate! !
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,"Sure, whenever you show the fuck up &gt;:("
ham,We confirm eating at esplanade?
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,Hmm .. Bits and pieces lol ... *sighs* ...
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,Dude how do you like the buff wind.
ham,When you came to hostel.
ham,Still i have not checked it da. . .
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
ham,You getting back any time soon?
ham,You bad girl. I can still remember them
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.
ham,How would my ip address test that considering my computer isn't a minecraft server
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
ham,Now thats going to ruin your thesis!
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham,Lol yes. But it will add some spice to your day.
ham,Nvm take ur time.
ham,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,10 min later k...
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,Do you like Italian food?
ham,No message..no responce..what happend?
ham,"Sure thing big man. i have hockey elections at 6, shouldn‘t go on longer than an hour though"
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
ham,Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,I am on the way to ur home
ham,I'll text you when I drop x off
ham,I reach home safe n sound liao...
ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?"
ham,Am i that much bad to avoid like this?
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,"Sorry, I can't help you on this."
ham,What happened to our yo date?
ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
ham,"I just got home babe, are you still awake ?"
ham,Ü collecting ur laptop then going to configure da settings izzit?
ham,I'm meeting Darren...
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
ham,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
ham,You still coming tonight?
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,"Alright, see you in a bit"
ham,Dear we are going to our rubber place
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
ham,Yeah we do totes. When u wanna?
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,IM LATE TELLMISS IM ON MY WAY
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
ham,Crucify is c not s. You should have told me earlier.
ham,K..i deleted my contact that why?
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,How do you guys go to see movies on your side.
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
ham,Then why no one talking to me
ham,Holy living christ what is taking you so long
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
ham,I am taking you for italian food. How about a pretty dress with no panties? :)
ham,Hey what happen de. Are you alright.
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Well welp is sort of a semiobscure internet thing
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Why she wants to talk to me
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,Those were my exact intentions
ham,But i juz remembered i gotta bathe my dog today..
ham,Great. Never been better. Each day gives even more reasons to thank God
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,Then dun wear jeans lor...
ham,I think it's all still in my car
ham,Yes! How is a pretty lady like you single?
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,"Arms fine, how's Cardiff and uni?"
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,I am not sure about night menu. . . I know only about noon menu
ham,Can ü call me at 10:10 to make sure dat i've woken up...
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
ham,Love it! I want to flood that pretty pussy with cum...
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham,U too...
ham,Beerage?
ham,When ü login dat time... Dad fetching ü home now?
ham,Neva mind it's ok..
ham,I'm working technical support :)voice process.
ham,What time. I‘m out until prob 3 or so
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,Nothing just getting msgs by dis name wit different no's..
ham,K k:) sms chat with me.
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,If you ask her or she say any please message.
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,Its a great day. Do have yourself a beautiful one.
ham,Long time. You remember me today.
spam,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
ham,Ü comin to fetch us oredi...
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
ham,Morning only i can ok.
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
ham,What time you think you'll have it? Need to know when I should be near campus
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,K do I need a login or anything
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,Is there any training tomorrow?
ham,"Good stuff, will do."
ham,Wot u up 2 u weirdo?
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
ham,Wow v v impressed. Have funs shopping!
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
spam,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more
ham,Is fujitsu s series lifebook good?
ham,Oh thanks a lot..i already bought 2 eggs ..
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!"
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx
ham,Its too late:)but its k.wish you the same.
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
ham,Mom wants to know where you at
ham,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,Ü bot notes oredi... Cos i juz rem i got...
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
ham,See? I thought it all through
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
ham,Match started.india  &lt;#&gt;  for 2
ham,Xy trying smth now. U eat already? We havent...
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
ham,Send me your resume:-)
ham,You best watch what you say cause I get drunk as a motherfucker
ham,Pls come quick cant bare this.
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,Aiya we discuss later lar... Pick ü up at 4 is it?
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,Tell me something. Thats okay.
ham,Ü called dad oredi...
ham,Sorry for the delay. Yes masters
ham,"Sorry, I'll call later in meeting"
ham,Nobody names their penis a girls name this story doesn't add up at all
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,No no. I will check all rooms befor activities
ham,Gud mrng dear hav a nice day
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
ham,Aiyah u did ok already lar. E nydc at wheellock?
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
ham,These won't do. Have to move on to morphine
ham,Not from this campus. Are you in the library?
ham,"Are you being good, baby? :)"
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
ham,did u get that message
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
ham,WHITE FUDGE OREOS ARE IN STORES
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,Jos ask if u wana meet up?
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,Did he just say somebody is named tampa
ham,I though we shd go out n have some fun so bar in town or something – sound ok?
ham,they released another Italian one today and it has a cosign option
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....
ham,As in i want custom officer discount oh.
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,U don't remember that old commercial?
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,Headin towards busetop
ham,Thanks for picking up the trash.
ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
ham,Ok cool. See ya then.
ham,"I'll get there at 3, unless you guys want me to come some time sooner"
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham,"sry can't talk on phone, with parents"
ham,I like to talk pa but am not able to. I dont know y.
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,Ok going to sleep. Hope i can meet her.
ham,"Didn't try, g and I decided not to head out"
ham,Wait . I will msg after  &lt;#&gt;  min.
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,She's good. How are you. Where r u working now
ham,1's reach home call me.
ham,May i call You later Pls
ham,R u still working now?
ham,S but not able to sleep.
ham,Can you do a mag meeting this avo at some point?
ham,Wat r u doing now?
ham,Sorry that was my uncle. I.ll keep in touch
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
